rank,word,training_frequency
1,is,12100
2,are,6583
3,university,6051
4,language,5989
5,s,5741
6,e,3899
7,linguistics,3156
8,mail,3064
9,information,3038
10,one,2743
11,conference,2694
12,de,2687
13,papers,2560
14,t,2318
15,d,2251
16,languages,2183
17,please,2136
18,http,2016
19,address,1997
20,email,1929
21,english,1897
22,workshop,1892
23,has,1876
24,n,1843
25,fax,1807
26,was,1774
27,our,1713
28,edu,1680
29,research,1669
30,www,1626
31,order,1579
32,m,1550
33,program,1540
34,name,1456
35,us,1455
36,linguistic,1447
37,send,1421
38,first,1384
39,call,1370
40,paper,1337
41,work,1322
42,uk,1253
43,two,1228
44,o,1175
45,l,1156
46,theory,1155
47,list,1154
48,been,1147
49,c,1146
50,number,1142
51,th,1141
52,free,1124
53,usa,1098
54,book,1094
55,following,1092
56,each,1089
57,report,1085
58,com,1078
59,speech,1076
60,u,1069
61,p,1061
62,web,1061
63,available,1056
64,registration,1044
65,between,984
66,form,983
67,money,966
68,many,965
69,international,957
70,systems,943
71,b,942
72,contact,925
73,word,923
74,abstracts,916
75,grammar,915
76,ac,911
77,department,908
78,g,895
79,syntax,890
80,over,885
81,analysis,884
82,include,881
83,must,881
84,those,880
85,computer,880
86,case,879
87,most,877
88,based,855
89,session,854
90,discourse,853
91,h,851
92,am,846
93,j,842
94,text,839
95,state,838
96,different,830
97,world,829
98,addresses,820
99,words,814
100,including,797
101,does,797
102,science,788
103,abstract,780
104,r,778
105,discussion,776
106,la,775
107,here,774
108,submission,774
109,business,772
110,studies,768
111,john,767
112,data,767
113,internet,766
114,special,756
115,both,754
116,phone,753
117,site,743
118,submissions,734
119,x,725
120,page,723
121,below,718
122,acquisition,716
123,second,711
124,where,708
125,committee,702
126,etc,701
127,further,695
128,structure,693
129,sent,692
130,within,690
131,system,690
132,had,688
133,speakers,678
134,general,674
135,even,670
136,invited,667
137,semantics,664
138,before,659
139,used,657
140,software,651
141,were,643
142,issues,642
143,html,636
144,part,634
145,day,633
146,much,632
147,using,631
148,same,630
149,after,626
150,institute,619
151,students,612
152,deadline,612
153,processing,612
154,received,611
155,receive,604
156,questions,603
157,subject,598
158,tel,598
159,knowledge,598
160,re,597
161,pp,597
162,author,594
163,place,593
164,cognitive,592
165,study,591
166,copy,591
167,non,588
168,through,588
169,need,588
170,made,587
171,phonology,584
172,translation,584
173,title,583
174,natural,582
175,level,572
176,learning,568
177,want,564
178,computational,563
179,lexical,559
180,interest,557
181,possible,546
182,volume,545
183,three,541
184,v,540
185,dr,533
186,social,531
187,check,529
188,full,528
189,important,523
190,date,520
191,chair,519
192,interested,518
193,being,518
194,august,517
195,best,516
196,development,513
197,break,512
198,participants,511
199,june,511
200,et,509
201,held,508
202,f,507
203,change,504
204,k,503
205,school,501
206,own,501
207,years,499
208,st,499
209,technology,499
210,provide,498
211,every,497
212,line,492
213,orders,492
214,related,491
215,reports,491
216,sessions,490
217,home,486
218,authors,486
219,per,483
220,card,483
221,pages,483
222,topics,482
223,mailing,482
224,press,480
225,credit,477
226,programme,476
227,european,471
228,course,471
229,applications,471
230,given,469
231,germany,467
232,communication,464
233,french,464
234,canada,463
235,ca,462
236,via,461
237,human,458
238,semantic,458
239,least,457
240,field,456
241,german,456
242,minutes,454
243,syntactic,453
244,read,452
245,working,452
246,theoretical,452
247,area,451
248,help,450
249,present,450
250,electronic,447
251,since,446
252,march,446
253,student,445
254,above,444
255,box,441
256,linguist,439
257,letter,436
258,example,436
259,copies,434
260,american,432
261,did,430
262,spanish,429
263,message,429
264,published,428
265,type,426
266,however,426
267,july,426
268,reference,423
269,york,423
270,four,421
271,japanese,421
272,a,420
273,ll,420
274,service,420
275,account,419
276,either,417
277,members,417
278,days,417
279,areas,417
280,september,416
281,point,415
282,aspects,415
283,linguists,415
284,april,415
285,accepted,414
286,anyone,413
287,price,409
288,evaluation,409
289,making,409
290,several,408
291,position,408
292,des,408
293,current,405
294,w,404
295,under,404
296,resources,403
297,teaching,400
298,note,399
299,submit,399
300,meaning,398
301,references,397
302,question,397
303,while,396
304,review,396
305,found,395
306,long,395
307,final,394
308,journal,394
309,en,393
310,might,392
311,few,392
312,verb,389
313,another,389
314,france,389
315,nl,387
316,section,385
317,approach,385
318,main,385
319,limited,385
320,city,384
321,coffee,384
322,focus,384
323,back,384
324,methods,384
325,let,383
326,context,381
327,examples,381
328,morphology,381
329,why,379
330,follow,378
331,proceedings,378
332,national,375
333,little,374
334,issue,373
335,college,372
336,benjamins,372
337,particular,371
338,meeting,371
339,society,370
340,education,370
341,right,369
342,names,369
343,experience,368
344,machine,368
345,details,367
346,results,367
347,major,367
348,single,365
349,marketing,365
350,affiliation,364
351,topic,363
352,logic,362
353,approaches,362
354,various,360
355,without,360
356,multi,360
357,le,359
358,great,358
359,set,358
360,fee,354
361,specific,354
362,group,354
363,proposals,352
364,whether,351
365,researchers,350
366,association,349
367,links,349
368,applied,347
369,forms,347
370,bulk,346
371,due,345
372,cost,345
373,start,344
374,grammatical,344
375,london,344
376,acl,344
377,david,343
378,presentation,343
379,opportunity,343
380,cd,342
381,still,342
382,week,341
383,programs,339
384,together,339
385,format,338
386,today,337
387,others,336
388,netherlands,336
389,lists,335
390,chinese,333
391,formal,333
392,less,332
393,problem,331
394,spoken,331
395,submitted,331
396,history,330
397,van,330
398,movement,330
399,lunch,329
400,problems,328
401,summary,328
402,wide,327
403,center,326
404,person,325
405,plus,324
406,ed,323
407,written,322
408,y,322
409,symposium,320
410,california,320
411,co,320
412,offer,319
413,series,319
414,off,319
415,phonological,318
416,easy,317
417,fact,315
418,required,315
419,modern,314
420,october,314
421,works,314
422,always,314
423,historical,312
424,hard,312
425,original,312
426,rather,312
427,paris,311
428,au,311
429,again,311
430,ve,311
431,post,310
432,corpus,310
433,until,309
434,really,307
435,life,307
436,workshops,307
437,speaker,306
438,future,306
439,writing,305
440,evidence,305
441,books,304
442,professor,304
443,mit,304
444,cs,304
445,japan,302
446,hotel,301
447,thanks,301
448,reading,299
449,standard,299
450,centre,298
451,additional,298
452,code,298
453,old,297
454,sure,297
455,remove,297
456,les,296
457,down,295
458,recent,295
459,better,295
460,process,294
461,texts,293
462,never,293
463,support,292
464,publications,292
465,complete,292
466,role,291
467,der,291
468,next,290
469,end,290
470,academic,289
471,access,289
472,application,288
473,file,288
474,real,288
475,local,287
476,introduction,286
477,product,286
478,net,286
479,oxford,285
480,native,285
481,length,284
482,pm,284
483,simple,283
484,office,282
485,room,282
486,interpretation,281
487,cambridge,280
488,view,280
489,presentations,280
490,yes,279
491,comparative,279
492,pragmatics,278
493,short,278
494,features,278
495,show,277
496,prof,277
497,mt,277
498,directory,277
499,theme,275
500,pre,275
